population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,5,Prevalence,1,Global,1,Male,6,5-9 years,405,Leprosy,1,Number,2023,1389.198768205469,1646.9423823438349,1149.3040627501423
1,All Population,5,Prevalence,1,Global,2,Female,6,5-9 years,405,Leprosy,1,Number,2023,793.8213351128601,949.07565965962,652.8351117247444
1,All Population,5,Prevalence,1,Global,1,Male,7,10-14 years,405,Leprosy,1,Number,2023,3473.1811182349,4122.831330799537,2846.0894233691697
1,All Population,5,Prevalence,1,Global,2,Female,7,10-14 years,405,Leprosy,1,Number,2023,1987.0547285848756,2423.961183161472,1629.49330791125
1,All Population,5,Prevalence,1,Global,1,Male,8,15-19 years,405,Leprosy,1,Number,2023,6273.600294814329,7453.777900285656,5153.500031095243
1,All Population,5,Prevalence,1,Global,2,Female,8,15-19 years,405,Leprosy,1,Number,2023,3603.0121465061866,4328.484245291041,2962.614084802816
1,All Population,5,Prevalence,1,Global,1,Male,9,20-24 years,405,Leprosy,1,Number,2023,9501.764475808051,11393.546219442824,7803.52757909644
1,All Population,5,Prevalence,1,Global,2,Female,9,20-24 years,405,Leprosy,1,Number,2023,5538.293924307336,6670.962052721035,4625.476118616194
1,All Population,5,Prevalence,1,Global,1,Male,10,25-29 years,405,Leprosy,1,Number,2023,12779.028774340744,15707.450841233747,10236.395326963991
1,All Population,5,Prevalence,1,Global,2,Female,10,25-29 years,405,Leprosy,1,Number,2023,7545.528310548363,9281.419826481564,6180.145634887571
1,All Population,5,Prevalence,1,Global,1,Male,11,30-34 years,405,Leprosy,1,Number,2023,15655.578412757886,18825.07830381173,12657.245544755113
1,All Population,5,Prevalence,1,Global,2,Female,11,30-34 years,405,Leprosy,1,Number,2023,9225.434132834993,11024.394222558109,7558.680084614784
1,All Population,5,Prevalence,1,Global,1,Male,12,35-39 years,405,Leprosy,1,Number,2023,18508.143589352225,22182.223092332923,15304.736842179942
1,All Population,5,Prevalence,1,Global,2,Female,12,35-39 years,405,Leprosy,1,Number,2023,10900.58959399866,13158.867217388744,9026.892257052086
1,All Population,5,Prevalence,1,Global,1,Male,13,40-44 years,405,Leprosy,1,Number,2023,20594.694047185538,24700.636829067167,17171.54009016828
1,All Population,5,Prevalence,1,Global,2,Female,13,40-44 years,405,Leprosy,1,Number,2023,12134.49947505856,14689.839466977091,10041.356272956957
